svar_1;svar_2;svar_3
0;0;1
0;0;0
1;0;0
0;1;1
0;1;0
0;1;0
0;1;0
0;1;0
0;0;1
0;1;0
0;1;0
0;0;0
1;0;0
0;1;0
0;0;0
0;0;0
0;1;0
0;1;0
0;0;1
0;1;0
1;0;0
1;0;1
0;0;0
0;0;1
0;0;1
0;1;0
0;0;1
0;1;0
0;1;0
0;0;1
0;1;0
1;1;1
0;1;0
0;0;0
1;0;0
0;1;1
0;0;0
0;0;0
0;0;1
1;0;0
